,nm_empresa,website_url,query,status,message_pt,attempts,name,dimensions_raw,price_raw,url,length_mm,width_mm,thickness_mm,price_value,currency,volume_m3,price_per_m3,Razão Social,Município,nm_mun,nu_latitude,nu_longitude
19,Decoros,https://www.decoros.com.br,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,,,,
20,Acimel Comercio De Revestimentos E Construcoes Ltda,https://www.acimel.com.br,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,Acimel Comercio De Revestimentos E Construcoes Ltda,BLUMENAU,BLUMENAU,-26.91610771,-49.05763088
21,Acimel Comercio De Revestimentos E Construcoes Ltda,https://www.acimel.com.br,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,Acimel Comercio De Revestimentos E Construcoes Ltda,BLUMENAU,BLUMENAU,-26.91610771,-49.05763088
22,Acimel Comercio De Revestimentos E Construcoes Ltda,https://www.acimel.com.br,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,Acimel Comercio De Revestimentos E Construcoes Ltda,BLUMENAU,BLUMENAU,-26.91610771,-49.05763088
23,Acimel Comercio De Revestimentos E Construcoes Ltda,https://www.acimel.com.br,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,Acimel Comercio De Revestimentos E Construcoes Ltda,BLUMENAU,BLUMENAU,-26.91610771,-49.05763088
24,Acimel Comercio De Revestimentos E Construcoes Ltda,https://www.acimel.com.br,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,Acimel Comercio De Revestimentos E Construcoes Ltda,BLUMENAU,BLUMENAU,-26.91610771,-49.05763088
25,Acimel Comercio De Revestimentos E Construcoes Ltda,https://www.acimel.com.br,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,Acimel Comercio De Revestimentos E Construcoes Ltda,BLUMENAU,BLUMENAU,-26.91610771,-49.05763088
26,Acimel Comercio De Revestimentos E Construcoes Ltda,https://www.acimel.com.br,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,Acimel Comercio De Revestimentos E Construcoes Ltda,BLUMENAU,BLUMENAU,-26.91610771,-49.05763088
27,Acasel Acabamento E Seguranca Ltda,https://acasel.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,Acasel Acabamento E Seguranca Ltda,CHAPECO,CHAPECO,-27.10683702,-52.61703111
28,Acasel Acabamento E Seguranca Ltda,https://acasel.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,Acasel Acabamento E Seguranca Ltda,CHAPECO,CHAPECO,-27.10683702,-52.61703111
29,Acasel Acabamento E Seguranca Ltda,https://acasel.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,Acasel Acabamento E Seguranca Ltda,CHAPECO,CHAPECO,-27.10683702,-52.61703111
30,Acasel Acabamento E Seguranca Ltda,https://acasel.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,Acasel Acabamento E Seguranca Ltda,CHAPECO,CHAPECO,-27.10683702,-52.61703111
31,Acasel Acabamento E Seguranca Ltda,https://acasel.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,Acasel Acabamento E Seguranca Ltda,CHAPECO,CHAPECO,-27.10683702,-52.61703111
