,website_url,query,status,message_pt,attempts,name,dimensions_raw,price_raw,url,length_mm,width_mm,thickness_mm,price_value,currency,quantity,volume_m3,price_per_m3,nm_empresa,cidade,nm_mun,nm_uf,nu_latitude,nu_longitude
116,https://www.casavee.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Casavee Home Decor,RIO NEGRINHO,RIO NEGRINHO,Santa Catarina,-26.25532503,-49.51729508
122,https://www.lojacavilha.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Cavilha,RIO DO SUL,RIO DO SUL,Santa Catarina,-27.21790323,-49.64323753
129,https://www.cassol.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Cassol Centerlar,ITAJAI,ITAJAI,Santa Catarina,-26.90742624,-48.65702321
136,https://www.ciadoestofado.ind.br,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,[],,,,,,,,,,,,,Cia Do Estofado,MONDAI,MONDAI,Santa Catarina,-27.10361169,-53.39868403
139,https://casapedroso.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Casa Pedroso Materiais Para Construcao Ltda,NAVEGANTES,NAVEGANTES,Santa Catarina,-26.89743912,-48.6491829
145,https://www.comercialcarlessi.com.br,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Comercial Carlessi Ltda,TURVO,TURVO,Paraná,-25.0401268,-51.53276433
150,https://www.comercialcarlessi.com.br,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Comercial Carlessi Ltda,TURVO,TURVO,Santa Catarina,-28.92474922,-49.68086575
152,https://www.casasdaagua.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Casas Da Agua,ITAJAI,ITAJAI,Santa Catarina,-26.90742624,-48.65702321
159,https://ativamoveis.com.br,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Ativa,SAO BENTO DO SUL,SAO BENTO DO SUL,Santa Catarina,-26.24948542,-49.3869789
166,https://www.girardionline.com.br,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Comercial Girardi,CHAPECO,CHAPECO,Santa Catarina,-27.10683702,-52.61703111
172,https://www.joli.com.br/,painel pinus,FOUND,Itens encontrados.,['painel pinus'],Painel Pinus 1200x200x18mm Massol,1200x200x18mm,"R$ 25,99",https://www.joli.com.br/painel-pinus-1200x200x18mm-massol/p,1200.0,200.0,18.0,25.99,BRL,1.0,0.00432,6016.203703703704,Comercio De Materiais Para Construcao Joli Ltda,ITAJAI,ITAJAI,Santa Catarina,-26.90742624,-48.65702321
179,https://www.joli.com.br/,painel pinus,FOUND,Itens encontrados.,['painel pinus'],Painel Pinus 900x300x18mm Massol,900x300x18mm,"R$ 35,99",https://www.joli.com.br/painel-pinus-900x300x18mm-massol/p,900.0,300.0,18.0,35.99,BRL,1.0,0.00486,7405.349794238684,Comercio De Materiais Para Construcao Joli Ltda,ITAJAI,ITAJAI,Santa Catarina,-26.90742624,-48.65702321
186,https://www.comach.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Comach Compensados,GRAVATAL,GRAVATAL,Santa Catarina,-28.32913072,-49.03947026
190,https://www.compensadosfernandes.com.br/,painel pinus,FOUND,Itens encontrados.,['painel pinus'],PAINEL MODULARE MADEIRA PINUS COM ACABAMENTO NATURAL - TRAMONTINA,1000x300x18mm,"R$ 109,36",https://www.compensadosfernandes.com.br/painel-modulare-madeira-pinus-com-acabamento-natural---tramontina/p,1000.0,300.0,18.0,109.36,BRL,1.0,0.0054,20251.85185185185,Compensados Fernandes,BLUMENAU,BLUMENAU,Santa Catarina,-26.91610771,-49.05763088
197,https://www.compensadosfernandes.com.br/,painel pinus,FOUND,Itens encontrados.,['painel pinus'],PAINEL MODULARE EM MADEIRA PINUS COM ACABAMENTO NATURAL - TRAMONTINA,1000x200x18mm,"R$ 40,07",https://www.compensadosfernandes.com.br/painel-modulare-em-madeira-pinus-com-acabamento-natural---tramontina/p,1000.0,200.0,18.0,40.07,BRL,1.0,0.0036,11130.555555555557,Compensados Fernandes,BLUMENAU,BLUMENAU,Santa Catarina,-26.91610771,-49.05763088
