,nm_empresa,website_url,query,status,message_pt,attempts,name,dimensions_raw,price_raw,url,length_mm,width_mm,thickness_mm,price_value,currency,volume_m3,price_per_m3
220,Settis Industria E Comercio - Rio Negrinho,https://www.settis.com.br/,painel pinus,FOUND,Itens encontrados.,['painel pinus'],PAINEL DE PINUS NATURAL 1500X500X17MM,1500X500X17MM,"R$113,77",https://www.settis.com.br/produtos/painel-de-pinus-natural-1500x500x17mm/,1500.0,500.0,17.0,113.77,BRL,0.01275,8923.137254901962
221,Settis Industria E Comercio - Rio Negrinho,https://www.settis.com.br/,painel pinus,FOUND,Itens encontrados.,['painel pinus'],PAINEL DE PINUS NATURAL 1500X600X17MM,1500X600X17MM,"R$135,88",https://www.settis.com.br/produtos/painel-de-pinus-natural-1500x600x17mm/,1500.0,600.0,17.0,135.88,BRL,0.0153,8881.045751633987
222,Settis Industria E Comercio - Rio Negrinho,https://www.settis.com.br/,painel pinus,FOUND,Itens encontrados.,['painel pinus'],PAINEL DE PINUS NATURAL 2000X600X17MM,2000X600X17MM,"R$184,15",https://www.settis.com.br/produtos/painel-de-pinus-natural-2000x600x17mm/,2000.0,600.0,17.0,184.15,BRL,0.0204,9026.960784313726
223,Settis Industria E Comercio - Rio Negrinho,https://www.settis.com.br/,painel pinus,FOUND,Itens encontrados.,['painel pinus'],PAINEL DE PINUS SLIM NATURAL 400X200X17MM,400X200X17MM,"R$18,73",https://www.settis.com.br/produtos/painel-de-pinus-slim-natural-400x200x17mm/,400.0,200.0,17.0,18.73,BRL,0.00136,13772.05882352941
224,Settis Industria E Comercio - Rio Negrinho,https://www.settis.com.br/,painel pinus,FOUND,Itens encontrados.,['painel pinus'],PAINEL DE PINUS SLIM NATURAL 600X200X17MM,600X200X17MM,"R$27,35",https://www.settis.com.br/produtos/painel-de-pinus-slim-natural-600x200x17mm/,600.0,200.0,17.0,27.35,BRL,0.00204,13406.862745098038
225,Settis Industria E Comercio - Rio Negrinho,https://www.settis.com.br/,painel pinus,FOUND,Itens encontrados.,['painel pinus'],PAINEL DE PINUS SLIM NATURAL 600X200X17MM,600X200X17MM,"R$27,35",https://www.settis.com.br/produtos/painel-de-pinus-slim-natural-600x200x17mm1/,600.0,200.0,17.0,27.35,BRL,0.00204,13406.862745098038
226,Settis Industria E Comercio - Rio Negrinho,https://www.settis.com.br/,painel pinus,FOUND,Itens encontrados.,['painel pinus'],PAINEL DE PINUS SLIM NATURAL 800X200X17MM,800X200X17MM,"R$31,86",https://www.settis.com.br/produtos/painel-de-pinus-slim-natural-800x200x17mm/,800.0,200.0,17.0,31.86,BRL,0.00272,11713.235294117647
227,Settis Industria E Comercio - Rio Negrinho,https://www.settis.com.br/,painel pinus,FOUND,Itens encontrados.,['painel pinus'],PAINEL DE PINUS SLIM NATURAL 1200X200X17MM,1200X200X17MM,"R$52,75",https://www.settis.com.br/produtos/painel-de-pinus-slim-natural-1200x200x17mm/,1200.0,200.0,17.0,52.75,BRL,0.00408,12928.92156862745
228,Settis Industria E Comercio - Rio Negrinho,https://www.settis.com.br/,painel pinus,FOUND,Itens encontrados.,['painel pinus'],PAINEL DE PINUS SLIM NATURAL 600X300X17MM,600X300X17MM,"R$36,85",https://www.settis.com.br/produtos/painel-de-pinus-slim-natural-600x300x17mm/,600.0,300.0,17.0,36.85,BRL,0.00306,12042.48366013072
229,Settis Industria E Comercio - Rio Negrinho,https://www.settis.com.br/,painel pinus,FOUND,Itens encontrados.,['painel pinus'],PAINEL DE PINUS SLIM NATURAL 800X300X17MM,800X300X17MM,"R$49,48",https://www.settis.com.br/produtos/painel-de-pinus-slim-natural-800x300x17mm/,800.0,300.0,17.0,49.48,BRL,0.00408,12127.450980392156
230,Settis Industria E Comercio - Rio Negrinho,https://www.settis.com.br/,painel pinus,FOUND,Itens encontrados.,['painel pinus'],PAINEL DE PINUS SLIM NATURAL 1200X300X17MM,1200X300X17MM,"R$63,49",https://www.settis.com.br/produtos/painel-de-pinus-slim-natural-1200x300x17mm/,1200.0,300.0,17.0,63.49,BRL,0.00612,10374.183006535948
231,Settis Industria E Comercio - Rio Negrinho,https://www.settis.com.br/,painel pinus,FOUND,Itens encontrados.,['painel pinus'],PAINEL DE PINUS BOLEADO TINGIDO 600X200X17MM,600X200X17MM,"R$27,36",https://www.settis.com.br/produtos/painel-de-pinus-boleado-tingido-600x200x17mm/,600.0,200.0,17.0,27.36,BRL,0.00204,13411.764705882351
232,Settis Industria E Comercio - Rio Negrinho,https://www.settis.com.br/,painel pinus,FOUND,Itens encontrados.,['painel pinus'],PAINEL DE PINUS BOLEADO TINGIDO 800X200X17MM,800X200X17MM,"R$33,92",https://www.settis.com.br/produtos/painel-de-pinus-boleado-tingido-800x200x17mm/,800.0,200.0,17.0,33.92,BRL,0.00272,12470.588235294117
233,Settis Industria E Comercio - Rio Negrinho,https://www.settis.com.br/,painel pinus,FOUND,Itens encontrados.,['painel pinus'],PAINEL DE PINUS BOLEADO TINGIDO 1200X200X17MM,1200X200X17MM,"R$50,77",https://www.settis.com.br/produtos/painel-de-pinus-boleado-tingido-1200x200x17mm/,1200.0,200.0,17.0,50.77,BRL,0.00408,12443.627450980392
234,Settis Industria E Comercio - Rio Negrinho,https://www.settis.com.br/,painel pinus,FOUND,Itens encontrados.,['painel pinus'],PAINEL DE PINUS BOLEADO TINGIDO 600X300X17MM,600X300X17MM,"R$38,38",https://www.settis.com.br/produtos/painel-de-pinus-boleado-tingido-600x300x17mm/,600.0,300.0,17.0,38.38,BRL,0.00306,12542.483660130722
235,Studio Ambientes - Florianopolis,https://www.studioambientes.com.br,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,
236,Espaco Smart - Joinville,https://www.espacosmart.com.br/,painel pinus,FOUND,Itens encontrados.,['painel pinus'],Painel Wall 40 x 1200 x 2500 MM (3m²),40 x 1200 x 2500 MM,"R$ 708,26",/painel-wall-40-x-1200-x-2500-mm-3m,40.0,1200.0,2500.0,708.26,BRL,0.12,5902.166666666667
237,Espaco Smart - Joinville,https://www.espacosmart.com.br/,painel pinus,FOUND,Itens encontrados.,['painel pinus'],Painel Wall 23 x 1200 x 2500 MM (3M²),23 x 1200 x 2500 MM,"R$ 581,45",/painel-wall-23-x-1200-x-2500-mm-3m,23.0,1200.0,2500.0,581.45,BRL,0.069,8426.811594202898
238,Zago Ferragens E Materiais De Construcao Ltda - Lages,https://zzago.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,
239,Banhoecasa.Com.Br - Palhoca,https://www.banhoecasa.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,
240,Portobello Shop - Criciuma,https://www.portobello.com.br,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,
241,So Bercos - Rio Negrinho,https://www.sobercos.com.br/,painel pinus,FOUND,Itens encontrados.,['painel pinus'],Balcão Buffet em Madeira Maciça de Pinus 2 Gavetas e 2 Portas,,"R$ 449,55",/balcao-buffet-em-madeira-macica-de-pinus-2-gavetas-e-2-portas,,,,449.55,BRL,,
242,So Bercos - Rio Negrinho,https://www.sobercos.com.br/,painel pinus,FOUND,Itens encontrados.,['painel pinus'],Baú de Armazenamento em Madeira Maciça de Pinus com Tampa Articulada e Trava de Segurança,,"R$ 379,79",/bau-de-armazenamento-em-madeira-macica-de-pinus-com-tampa-articulada-e-trava-de-seguranca,,,,379.79,BRL,,
243,So Bercos - Rio Negrinho,https://www.sobercos.com.br/,painel pinus,FOUND,Itens encontrados.,['painel pinus'],Balcão Buffet Grande em Madeira Maciça 3 Gavetas e 3 Portas,,,,,,,,,,
244,So Bercos - Rio Negrinho,https://www.sobercos.com.br/,painel pinus,FOUND,Itens encontrados.,['painel pinus'],Suporte de Berço para Mobile em Madeira Mel,,"R$ 249,00",/suporte-de-berco-para-mobile-em-madeira-mel,,,,249.0,BRL,,
245,Rmc Comercio De Materiais De Construcao Ltda - Concordia,https://realcenterconcordia.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,[],,,,,,,,,,,
246,Zzago - Lages,https://zzago.com.br,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,
