nm_municipio_1mai_sa_x,cd_mun_7d,nm_uf_x,sg_uf,grupo_setor,quantidade_empresas,nm_uf_y,nm_municipio_1mai_sa_y,nm_microrregiao,nu_latitude,nu_longitude
Abadia de Goias,5200050.0,Goiás,GO,Comércio varejista de materiais de construção,3,Goiás,Abadia de Goias,Goiânia,-16.75881189,-49.44054783
Abadia de Goias,5200050.0,Goiás,GO,Fabricação de móveis com predominância de madeira,1,Goiás,Abadia de Goias,Goiânia,-16.75881189,-49.44054783
Abadia dos Dourados,3100104.0,Minas Gerais,MG,Comércio varejista de materiais de construção,1,Minas Gerais,Abadia dos Dourados,Patrocínio,-18.48756496,-47.39683244
Abadiania,5200100.0,Goiás,GO,Fabricação de esquadrias de madeira e de peças de madeira para instalações industriais e comerciais,2,Goiás,Abadiania,Entorno de Brasília,-16.18267186,-48.71881214
Abaete,3100203.0,Minas Gerais,MG,Comércio atacadista de materiais de construção,5,Minas Gerais,Abaete,Três Marias,-19.15584769,-45.44619142
Abaete,3100203.0,Minas Gerais,MG,Comércio varejista de materiais de construção,6,Minas Gerais,Abaete,Três Marias,-19.15584769,-45.44619142
Abaetetuba,1500107.0,Pará,PA,Comércio varejista de materiais de construção,41,Pará,Abaetetuba,Cametá,-1.723469863,-48.88440382
Abaetetuba,1500107.0,Pará,PA,"Fabricação de artefatos diversos de madeira, exceto móveis",1,Pará,Abaetetuba,Cametá,-1.723469863,-48.88440382
Abaetetuba,1500107.0,Pará,PA,Fabricação de móveis com predominância de madeira,1,Pará,Abaetetuba,Cametá,-1.723469863,-48.88440382
Abare,2900207.0,Bahia,BA,Comércio varejista de materiais de construção,2,Bahia,Abare,Paulo Afonso,-8.723418246,-39.11658794
Abatia,4100103.0,Paraná,PR,Comércio varejista de materiais de construção,3,Paraná,Abatia,Cornélio Procópio,-23.30049404,-50.31252658
Abdon Batista,4200051.0,Santa Catarina,SC,Comércio varejista de materiais de construção,1,Santa Catarina,Abdon Batista,Curitibanos,-27.60898712,-51.02527221
Abdon Batista,4200051.0,Santa Catarina,SC,Fabricação de móveis com predominância de madeira,1,Santa Catarina,Abdon Batista,Curitibanos,-27.60898712,-51.02527221
Abel Figueiredo,1500131.0,Pará,PA,Comércio varejista de materiais de construção,3,Pará,Abel Figueiredo,Paragominas,-4.951390896,-48.39676213
Abelardo Luz,4200101.0,Santa Catarina,SC,Comércio varejista de materiais de construção,6,Santa Catarina,Abelardo Luz,Xanxerê,-26.56303102,-52.33648238
Abelardo Luz,4200101.0,Santa Catarina,SC,Fabricação de esquadrias de madeira e de peças de madeira para instalações industriais e comerciais,1,Santa Catarina,Abelardo Luz,Xanxerê,-26.56303102,-52.33648238
Abre Campo,3100302.0,Minas Gerais,MG,Comércio varejista de materiais de construção,4,Minas Gerais,Abre Campo,Manhuaçu,-20.30144528,-42.48098999
Abre Campo,3100302.0,Minas Gerais,MG,"Fabricação de artefatos diversos de madeira, exceto móveis",1,Minas Gerais,Abre Campo,Manhuaçu,-20.30144528,-42.48098999
Abre Campo,3100302.0,Minas Gerais,MG,Fabricação de móveis com predominância de madeira,1,Minas Gerais,Abre Campo,Manhuaçu,-20.30144528,-42.48098999
Abreu e Lima,2600054.0,Pernambuco,PE,Comércio varejista de materiais de construção,5,Pernambuco,Abreu e Lima,Recife,-7.90444899,-34.89913058
Abreu e Lima,2600054.0,Pernambuco,PE,"Fabricação de artefatos diversos de madeira, exceto móveis",1,Pernambuco,Abreu e Lima,Recife,-7.90444899,-34.89913058
Abreu e Lima,2600054.0,Pernambuco,PE,Fabricação de esquadrias de madeira e de peças de madeira para instalações industriais e comerciais,1,Pernambuco,Abreu e Lima,Recife,-7.90444899,-34.89913058
Abreu e Lima,2600054.0,Pernambuco,PE,Fabricação de móveis com predominância de madeira,2,Pernambuco,Abreu e Lima,Recife,-7.90444899,-34.89913058
Acaiaca,3100401.0,Minas Gerais,MG,Comércio varejista de materiais de construção,2,Minas Gerais,Acaiaca,Ponte Nova,-20.36040893,-43.1482389
Acailandia,2100055.0,Maranhão,MA,Comércio atacadista de materiais de construção,3,Maranhão,Acailandia,Imperatriz,-4.951377,-47.50666459
Acailandia,2100055.0,Maranhão,MA,Comércio varejista de materiais de construção,23,Maranhão,Acailandia,Imperatriz,-4.951377,-47.50666459
Acailandia,2100055.0,Maranhão,MA,"Fabricação de artefatos diversos de madeira, exceto móveis",1,Maranhão,Acailandia,Imperatriz,-4.951377,-47.50666459
Acajutiba,2900306.0,Bahia,BA,Comércio varejista de materiais de construção,1,Bahia,Acajutiba,Alagoinhas,-11.66261283,-38.01828637
Acara,1500206.0,Pará,PA,Comércio varejista de materiais de construção,15,Pará,Acara,Tomé-Açu,-1.9634365,-48.20045643
Acara,1500206.0,Pará,PA,"Fabricação de artefatos diversos de madeira, exceto móveis",1,Pará,Acara,Tomé-Açu,-1.9634365,-48.20045643
Acarau,2300200.0,Ceará,CE,Comércio varejista de materiais de construção,4,Ceará,Acarau,Litoral de Camocim e Acaraú,-2.88531054,-40.11824147
Acari,2400109.0,Rio Grande do Norte,RN,Comércio varejista de materiais de construção,2,Rio Grande do Norte,Acari,Seridó Oriental,-6.442085089,-36.64373887
Acaua,2200053.0,Piauí,PI,Comércio varejista de materiais de construção,2,Piauí,Acaua,Alto Médio Canindé,-8.220786663,-41.08363782
Acegua,4300034.0,Rio Grande do Sul,RS,Comércio varejista de materiais de construção,1,Rio Grande do Sul,Acegua,Campanha Meridional,-31.8640153,-54.16473154
Acopiara,2300309.0,Ceará,CE,Comércio varejista de materiais de construção,3,Ceará,Acopiara,Sertão de Senador Pompeu,-6.092761995,-39.45570528
Acorizal,5100102.0,Mato Grosso,MT,Comércio varejista de materiais de construção,3,Mato Grosso,Acorizal,Rosário Oeste,-15.19788998,-56.37155257
Acrelandia,1200013.0,Acre,AC,Comércio atacadista de materiais de construção,1,Acre,Acrelandia,Rio Branco,-10.07379389,-67.05231658
Acrelandia,1200013.0,Acre,AC,Comércio varejista de materiais de construção,2,Acre,Acrelandia,Rio Branco,-10.07379389,-67.05231658
Acrelandia,1200013.0,Acre,AC,Fabricação de esquadrias de madeira e de peças de madeira para instalações industriais e comerciais,1,Acre,Acrelandia,Rio Branco,-10.07379389,-67.05231658
Acreuna,5200134.0,Goiás,GO,Comércio varejista de materiais de construção,2,Goiás,Acreuna,Vale do Rio dos Bois,-17.39815622,-50.37497337
Acu,2400208.0,Rio Grande do Norte,RN,Comércio varejista de materiais de construção,13,Rio Grande do Norte,Acu,Vale do Açu,-5.571945999,-36.91792322
Acucena,3100500.0,Minas Gerais,MG,Comércio varejista de materiais de construção,1,Minas Gerais,Acucena,Ipatinga,-19.07671289,-42.54621088
Adamantina,3500105.0,São Paulo,SP,Comércio varejista de materiais de construção,13,São Paulo,Adamantina,Adamantina,-21.68831148,-51.07336475
Adamantina,3500105.0,São Paulo,SP,Fabricação de móveis com predominância de madeira,1,São Paulo,Adamantina,Adamantina,-21.68831148,-51.07336475
Adrianopolis,4100202.0,Paraná,PR,Comércio varejista de materiais de construção,1,Paraná,Adrianopolis,Cerro Azul,-24.66168971,-48.99175454
Adustina,2900355.0,Bahia,BA,Comércio varejista de materiais de construção,4,Bahia,Adustina,Ribeira do Pombal,-10.52957157,-38.11550583
Afogados da Ingazeira,2600104.0,Pernambuco,PE,Comércio varejista de materiais de construção,10,Pernambuco,Afogados da Ingazeira,Pajeú,-7.748327586,-37.63768602
Afogados da Ingazeira,2600104.0,Pernambuco,PE,Fabricação de móveis com predominância de madeira,3,Pernambuco,Afogados da Ingazeira,Pajeú,-7.748327586,-37.63768602
Afonso Bezerra,2400307.0,Rio Grande do Norte,RN,Comércio varejista de materiais de construção,1,Rio Grande do Norte,Afonso Bezerra,Angicos,-5.498734268,-36.50914823
Afonso Claudio,3200102.0,Espírito Santo,ES,Comércio varejista de materiais de construção,7,Espírito Santo,Afonso Claudio,Afonso Cláudio,-20.07704001,-41.12545972
Afonso Cunha,2100105.0,Maranhão,MA,Comércio varejista de materiais de construção,1,Maranhão,Afonso Cunha,Coelho Neto,-4.135015477,-43.320869
Afranio,2600203.0,Pernambuco,PE,Comércio varejista de materiais de construção,4,Pernambuco,Afranio,Petrolina,-8.511091284,-41.00579734
Afua,1500305.0,Pará,PA,Comércio varejista de materiais de construção,2,Pará,Afua,Furos de Breves,-0.159171694,-50.39142759
Afua,1500305.0,Pará,PA,"Fabricação de artefatos diversos de madeira, exceto móveis",2,Pará,Afua,Furos de Breves,-0.159171694,-50.39142759
Agrestina,2600302.0,Pernambuco,PE,Comércio varejista de materiais de construção,2,Pernambuco,Agrestina,Brejo Pernambucano,-8.455973,-35.94677684
Agrolandia,4200200.0,Santa Catarina,SC,Comércio varejista de materiais de construção,4,Santa Catarina,Agrolandia,Ituporanga,-27.40051659,-49.82565339
Agronomica,4200309.0,Santa Catarina,SC,Comércio atacadista de materiais de construção,1,Santa Catarina,Agronomica,Rio do Sul,-27.26971611,-49.71836889
Agronomica,4200309.0,Santa Catarina,SC,Comércio varejista de materiais de construção,4,Santa Catarina,Agronomica,Rio do Sul,-27.26971611,-49.71836889
Agronomica,4200309.0,Santa Catarina,SC,Fabricação de móveis com predominância de madeira,2,Santa Catarina,Agronomica,Rio do Sul,-27.26971611,-49.71836889
Agua Azul do Norte,1500347.0,Pará,PA,Comércio varejista de materiais de construção,6,Pará,Agua Azul do Norte,Parauapebas,-6.804948867,-50.48527451
Agua Boa,5100201.0,Mato Grosso,MT,Comércio varejista de materiais de construção,18,Mato Grosso,Agua Boa,Canarana,-14.0490868,-52.1589153
Agua Boa,5100201.0,Mato Grosso,MT,Fabricação de outros artigos de carpintaria para construção,1,Mato Grosso,Agua Boa,Canarana,-14.0490868,-52.1589153
Agua Branca,2200202.0,Piauí,PI,Comércio varejista de materiais de construção,4,Piauí,Agua Branca,Médio Parnaíba Piauiense,-5.893266338,-42.63513086
Agua Branca,2200202.0,Piauí,PI,Fabricação de móveis com predominância de madeira,2,Piauí,Agua Branca,Médio Parnaíba Piauiense,-5.893266338,-42.63513086
Agua Branca,2500106.0,Paraíba,PB,Comércio varejista de materiais de construção,1,Paraíba,Agua Branca,Serra do Teixeira,-7.511070151,-37.64220904
Agua Clara,5000203.0,Mato Grosso do Sul,MS,Comércio atacadista de materiais de construção,5,Mato Grosso do Sul,Agua Clara,Três Lagoas,-20.44885076,-52.87511755
Agua Clara,5000203.0,Mato Grosso do Sul,MS,Comércio varejista de materiais de construção,15,Mato Grosso do Sul,Agua Clara,Três Lagoas,-20.44885076,-52.87511755
Agua Doce,4200408.0,Santa Catarina,SC,Comércio varejista de materiais de construção,2,Santa Catarina,Agua Doce,Joaçaba,-27.00409166,-51.55909656
Agua Doce do Maranhao,2100154.0,Maranhão,MA,Comércio varejista de materiais de construção,5,Maranhão,Agua Doce do Maranhao,Baixo Parnaíba Maranhense,-2.840278279,-42.1155512
Agua Doce do Norte,3200169.0,Espírito Santo,ES,Comércio varejista de materiais de construção,3,Espírito Santo,Agua Doce do Norte,Barra de São Francisco,-18.54554649,-40.97645591
Agua Fria de Goias,5200175.0,Goiás,GO,Comércio varejista de materiais de construção,1,Goiás,Agua Fria de Goias,Entorno de Brasília,-14.98553527,-47.78221216
Agua Preta,2600401.0,Pernambuco,PE,Comércio varejista de materiais de construção,2,Pernambuco,Agua Preta,Mata Meridional Pernambucana,-8.709122552,-35.51855735
Agua Santa,4300059.0,Rio Grande do Sul,RS,Comércio varejista de materiais de construção,1,Rio Grande do Sul,Agua Santa,Passo Fundo,-28.17505475,-52.03463279
Aguai,3500303.0,São Paulo,SP,Comércio atacadista de materiais de construção,1,São Paulo,Aguai,Pirassununga,-22.059684,-46.97969311
Aguai,3500303.0,São Paulo,SP,Comércio varejista de materiais de construção,12,São Paulo,Aguai,Pirassununga,-22.059684,-46.97969311
Aguai,3500303.0,São Paulo,SP,Fabricação de móveis com predominância de madeira,1,São Paulo,Aguai,Pirassununga,-22.059684,-46.97969311
Aguas Belas,2600500.0,Pernambuco,PE,Comércio varejista de materiais de construção,31,Pernambuco,Aguas Belas,Vale do Ipanema,-9.1145895,-37.12195717
Aguas Formosas,3100906.0,Minas Gerais,MG,Comércio varejista de materiais de construção,1,Minas Gerais,Aguas Formosas,Nanuque,-17.08230432,-40.93522794
Aguas Frias,4200556.0,Santa Catarina,SC,Comércio varejista de materiais de construção,2,Santa Catarina,Aguas Frias,Chapecó,-26.88022754,-52.85941945
Aguas Frias,4200556.0,Santa Catarina,SC,Fabricação de móveis com predominância de madeira,1,Santa Catarina,Aguas Frias,Chapecó,-26.88022754,-52.85941945
Aguas Lindas de Goias,5200258.0,Goiás,GO,Comércio varejista de materiais de construção,32,Goiás,Aguas Lindas de Goias,Entorno de Brasília,-15.73793886,-48.28344444
Aguas Lindas de Goias,5200258.0,Goiás,GO,Fabricação de móveis com predominância de madeira,6,Goiás,Aguas Lindas de Goias,Entorno de Brasília,-15.73793886,-48.28344444
Aguas Mornas,4200606.0,Santa Catarina,SC,Fabricação de móveis com predominância de madeira,1,Santa Catarina,Aguas Mornas,Tabuleiro,-27.70659719,-48.8405384
Aguas de Chapeco,4200507.0,Santa Catarina,SC,Fabricação de móveis com predominância de madeira,1,Santa Catarina,Aguas de Chapeco,Chapecó,-27.07621291,-52.98725101
Aguas de Lindoia,3500501.0,São Paulo,SP,Comércio varejista de materiais de construção,9,São Paulo,Aguas de Lindoia,Amparo,-22.47382204,-46.63177884
Aguas de Santa Barbara,3500550.0,São Paulo,SP,Comércio varejista de materiais de construção,1,São Paulo,Aguas de Santa Barbara,Avaré,-22.86914941,-49.23860777
Aguas de Sao Pedro,3500600.0,São Paulo,SP,Comércio varejista de materiais de construção,1,São Paulo,Aguas de Sao Pedro,Piracicaba,-22.59733955,-47.88397474
Agudo,4300109.0,Rio Grande do Sul,RS,Comércio varejista de materiais de construção,4,Rio Grande do Sul,Agudo,Restinga Seca,-29.64566336,-53.25869169
Agudo,4300109.0,Rio Grande do Sul,RS,Fabricação de móveis com predominância de madeira,1,Rio Grande do Sul,Agudo,Restinga Seca,-29.64566336,-53.25869169
Agudos,3500709.0,São Paulo,SP,Comércio atacadista de materiais de construção,2,São Paulo,Agudos,Bauru,-22.474037,-48.99015629
Agudos,3500709.0,São Paulo,SP,Comércio varejista de materiais de construção,10,São Paulo,Agudos,Bauru,-22.474037,-48.99015629
Agudos,3500709.0,São Paulo,SP,"Fabricação de artefatos diversos de madeira, exceto móveis",1,São Paulo,Agudos,Bauru,-22.474037,-48.99015629
Agudos,3500709.0,São Paulo,SP,Fabricação de móveis com predominância de madeira,5,São Paulo,Agudos,Bauru,-22.474037,-48.99015629
Agudos do Sul,4100301.0,Paraná,PR,Comércio atacadista de materiais de construção,1,Paraná,Agudos do Sul,Rio Negro,-25.99061809,-49.33870188
Agudos do Sul,4100301.0,Paraná,PR,Comércio varejista de materiais de construção,4,Paraná,Agudos do Sul,Rio Negro,-25.99061809,-49.33870188
Agudos do Sul,4100301.0,Paraná,PR,"Fabricação de artefatos diversos de madeira, exceto móveis",1,Paraná,Agudos do Sul,Rio Negro,-25.99061809,-49.33870188
Agudos do Sul,4100301.0,Paraná,PR,Fabricação de móveis com predominância de madeira,1,Paraná,Agudos do Sul,Rio Negro,-25.99061809,-49.33870188
Aguia Branca,3200136.0,Espírito Santo,ES,Comércio varejista de materiais de construção,3,Espírito Santo,Aguia Branca,Nova Venécia,-18.98736137,-40.73663817
Aguiarnopolis,1700301.0,Tocantins,TO,Comércio varejista de materiais de construção,2,Tocantins,Aguiarnopolis,Bico do Papagaio,-6.547170821,-47.47045659
Aimores,3101102.0,Minas Gerais,MG,Comércio varejista de materiais de construção,6,Minas Gerais,Aimores,Aimorés,-19.49195015,-41.07332746
Aiuruoca,3101201.0,Minas Gerais,MG,Comércio varejista de materiais de construção,3,Minas Gerais,Aiuruoca,Andrelândia,-21.97589666,-44.60282446
Ajuricaba,4300208.0,Rio Grande do Sul,RS,Comércio varejista de materiais de construção,1,Rio Grande do Sul,Ajuricaba,Ijuí,-28.23772901,-53.77281889
Alagoa Grande,2500304.0,Paraíba,PB,Comércio varejista de materiais de construção,2,Paraíba,Alagoa Grande,Brejo Paraibano,-7.036775,-35.63389198
Alagoinha,2500502.0,Paraíba,PB,Comércio varejista de materiais de construção,1,Paraíba,Alagoinha,Guarabira,-6.948140405,-35.54549135
Alagoinhas,2900702.0,Bahia,BA,Comércio atacadista de materiais de construção,1,Bahia,Alagoinhas,Alagoinhas,-12.13418259,-38.42261577
Alagoinhas,2900702.0,Bahia,BA,Comércio varejista de materiais de construção,25,Bahia,Alagoinhas,Alagoinhas,-12.13418259,-38.42261577
Alambari,3500758.0,São Paulo,SP,Comércio atacadista de materiais de construção,2,São Paulo,Alambari,Itapetininga,-23.55389889,-47.89358839
Albertina,3101409.0,Minas Gerais,MG,Comércio atacadista de materiais de construção,2,Minas Gerais,Albertina,Poços de Caldas,-22.19976448,-46.61160257
Alcantara,2100204.0,Maranhão,MA,Comércio varejista de materiais de construção,4,Maranhão,Alcantara,Litoral Ocidental Maranhense,-2.403276525,-44.41701254
Alcantaras,2300507.0,Ceará,CE,Comércio varejista de materiais de construção,1,Ceará,Alcantaras,Meruoca,-3.586983769,-40.54463812
Alcinopolis,5000252.0,Mato Grosso do Sul,MS,Comércio varejista de materiais de construção,8,Mato Grosso do Sul,Alcinopolis,Alto Taquari,-18.32503398,-53.70808963
Aldeias Altas,2100303.0,Maranhão,MA,Comércio varejista de materiais de construção,1,Maranhão,Aldeias Altas,Coelho Neto,-4.630779495,-43.46873485
Alecrim,4300307.0,Rio Grande do Sul,RS,Comércio varejista de materiais de construção,1,Rio Grande do Sul,Alecrim,Santa Rosa,-27.66107446,-54.76709622
Alecrim,4300307.0,Rio Grande do Sul,RS,Fabricação de móveis com predominância de madeira,1,Rio Grande do Sul,Alecrim,Santa Rosa,-27.66107446,-54.76709622
Alegre,3200201.0,Espírito Santo,ES,Comércio varejista de materiais de construção,12,Espírito Santo,Alegre,Alegre,-20.76326514,-41.53648832
Alegrete,4300406.0,Rio Grande do Sul,RS,Comércio atacadista de materiais de construção,1,Rio Grande do Sul,Alegrete,Campanha Ocidental,-29.78204321,-55.79587015
Alegrete,4300406.0,Rio Grande do Sul,RS,Comércio varejista de materiais de construção,7,Rio Grande do Sul,Alegrete,Campanha Ocidental,-29.78204321,-55.79587015
Alegria,4300455.0,Rio Grande do Sul,RS,Comércio varejista de materiais de construção,1,Rio Grande do Sul,Alegria,Ijuí,-27.83729996,-54.05736641
Alem Paraiba,3101508.0,Minas Gerais,MG,Comércio varejista de materiais de construção,2,Minas Gerais,Alem Paraiba,Cataguases,-21.87680371,-42.6959466
Alenquer,1500404.0,Pará,PA,Comércio varejista de materiais de construção,7,Pará,Alenquer,Santarém,-1.951397505,-54.74086235
Alenquer,1500404.0,Pará,PA,Fabricação de esquadrias de madeira e de peças de madeira para instalações industriais e comerciais,1,Pará,Alenquer,Santarém,-1.951397505,-54.74086235
Alexandria,2400505.0,Rio Grande do Norte,RN,Comércio varejista de materiais de construção,2,Rio Grande do Norte,Alexandria,Pau dos Ferros,-6.417136338,-38.01928889
Alexania,5200308.0,Goiás,GO,Comércio varejista de materiais de construção,1,Goiás,Alexania,Entorno de Brasília,-16.08616762,-48.50963639
Alexania,5200308.0,Goiás,GO,Fabricação de móveis com predominância de madeira,2,Goiás,Alexania,Entorno de Brasília,-16.08616762,-48.50963639
Alfenas,3101607.0,Minas Gerais,MG,Comércio atacadista de materiais de construção,1,Minas Gerais,Alfenas,Alfenas,-21.42817812,-45.9489182
Alfenas,3101607.0,Minas Gerais,MG,Comércio varejista de materiais de construção,25,Minas Gerais,Alfenas,Alfenas,-21.42817812,-45.9489182
Alfenas,3101607.0,Minas Gerais,MG,"Fabricação de artefatos diversos de madeira, exceto móveis",1,Minas Gerais,Alfenas,Alfenas,-21.42817812,-45.9489182
Alfenas,3101607.0,Minas Gerais,MG,Fabricação de móveis com predominância de madeira,2,Minas Gerais,Alfenas,Alfenas,-21.42817812,-45.9489182
Alfredo Chaves,3200300.0,Espírito Santo,ES,Comércio varejista de materiais de construção,4,Espírito Santo,Alfredo Chaves,Guarapari,-20.63034754,-40.76004965
Alfredo Chaves,3200300.0,Espírito Santo,ES,Fabricação de móveis com predominância de madeira,1,Espírito Santo,Alfredo Chaves,Guarapari,-20.63034754,-40.76004965
Alfredo Marcondes,3500808.0,São Paulo,SP,Comércio varejista de materiais de construção,1,São Paulo,Alfredo Marcondes,Presidente Prudente,-21.95274112,-51.41293807
Alfredo Marcondes,3500808.0,São Paulo,SP,Fabricação de móveis com predominância de madeira,2,São Paulo,Alfredo Marcondes,Presidente Prudente,-21.95274112,-51.41293807
Alfredo Vasconcelos,3101631.0,Minas Gerais,MG,Comércio varejista de materiais de construção,2,Minas Gerais,Alfredo Vasconcelos,Barbacena,-21.13942346,-43.77388995
Alfredo Wagner,4200705.0,Santa Catarina,SC,Comércio atacadista de materiais de construção,1,Santa Catarina,Alfredo Wagner,Tabuleiro,-27.70539633,-49.3438123
Alfredo Wagner,4200705.0,Santa Catarina,SC,Fabricação de móveis com predominância de madeira,1,Santa Catarina,Alfredo Wagner,Tabuleiro,-27.70539633,-49.3438123
Alhandra,2500601.0,Paraíba,PB,Comércio atacadista de materiais de construção,1,Paraíba,Alhandra,Litoral Sul,-7.432995302,-34.91198516
Alhandra,2500601.0,Paraíba,PB,Comércio varejista de materiais de construção,2,Paraíba,Alhandra,Litoral Sul,-7.432995302,-34.91198516
Alhandra,2500601.0,Paraíba,PB,Fabricação de esquadrias de madeira e de peças de madeira para instalações industriais e comerciais,1,Paraíba,Alhandra,Litoral Sul,-7.432995302,-34.91198516
Alhandra,2500601.0,Paraíba,PB,Fabricação de móveis com predominância de madeira,1,Paraíba,Alhandra,Litoral Sul,-7.432995302,-34.91198516
Alianca,2600708.0,Pernambuco,PE,Comércio varejista de materiais de construção,1,Pernambuco,Alianca,Mata Setentrional Pernambucana,-7.604729808,-35.2285015
Almas,1700400.0,Tocantins,TO,Comércio varejista de materiais de construção,1,Tocantins,Almas,Dianópolis,-11.57452347,-47.17417168
Almeirim,1500503.0,Pará,PA,Comércio atacadista de materiais de construção,1,Pará,Almeirim,Almeirim,-1.527338803,-52.57683509
Almeirim,1500503.0,Pará,PA,Comércio varejista de materiais de construção,6,Pará,Almeirim,Almeirim,-1.527338803,-52.57683509
Almeirim,1500503.0,Pará,PA,"Fabricação de artefatos diversos de madeira, exceto móveis",1,Pará,Almeirim,Almeirim,-1.527338803,-52.57683509
Almeirim,1500503.0,Pará,PA,Fabricação de esquadrias de madeira e de peças de madeira para instalações industriais e comerciais,1,Pará,Almeirim,Almeirim,-1.527338803,-52.57683509
Almeirim,1500503.0,Pará,PA,Fabricação de móveis com predominância de madeira,1,Pará,Almeirim,Almeirim,-1.527338803,-52.57683509
Almenara,3101706.0,Minas Gerais,MG,Comércio varejista de materiais de construção,6,Minas Gerais,Almenara,Almenara,-16.18061617,-40.69765118
Almirante Tamandare,4100400.0,Paraná,PR,Comércio atacadista de materiais de construção,1,Paraná,Almirante Tamandare,Curitiba,-25.3133776,-49.30031982
Almirante Tamandare,4100400.0,Paraná,PR,Comércio varejista de materiais de construção,13,Paraná,Almirante Tamandare,Curitiba,-25.3133776,-49.30031982
Almirante Tamandare,4100400.0,Paraná,PR,Fabricação de móveis com predominância de madeira,4,Paraná,Almirante Tamandare,Curitiba,-25.3133776,-49.30031982
Aloandia,5200506.0,Goiás,GO,Comércio varejista de materiais de construção,1,Goiás,Aloandia,Meia Ponte,-17.72490885,-49.48232111
Alpercata,3101805.0,Minas Gerais,MG,Comércio varejista de materiais de construção,1,Minas Gerais,Alpercata,Governador Valadares,-18.98683126,-41.98912911
Alpinopolis,3101904.0,Minas Gerais,MG,Comércio varejista de materiais de construção,5,Minas Gerais,Alpinopolis,Passos,-20.86185466,-46.38948253
Alta Floresta,5100250.0,Mato Grosso,MT,Comércio atacadista de materiais de construção,2,Mato Grosso,Alta Floresta,Alta Floresta,-9.871722597,-56.09161044
Alta Floresta,5100250.0,Mato Grosso,MT,Comércio varejista de materiais de construção,20,Mato Grosso,Alta Floresta,Alta Floresta,-9.871722597,-56.09161044
Alta Floresta,5100250.0,Mato Grosso,MT,"Fabricação de artefatos diversos de madeira, exceto móveis",1,Mato Grosso,Alta Floresta,Alta Floresta,-9.871722597,-56.09161044
Alta Floresta,5100250.0,Mato Grosso,MT,Fabricação de esquadrias de madeira e de peças de madeira para instalações industriais e comerciais,2,Mato Grosso,Alta Floresta,Alta Floresta,-9.871722597,-56.09161044
Alta Floresta,5100250.0,Mato Grosso,MT,Fabricação de móveis com predominância de madeira,5,Mato Grosso,Alta Floresta,Alta Floresta,-9.871722597,-56.09161044
Alta Floresta D'Oeste,1100015.0,Rondônia,RO,Comércio varejista de materiais de construção,5,Rondônia,Alta Floresta D'Oeste,Cacoal,-11.9355403,-61.9998239
Alta Floresta D'Oeste,1100015.0,Rondônia,RO,Fabricação de móveis com predominância de madeira,1,Rondônia,Alta Floresta D'Oeste,Cacoal,-11.9355403,-61.9998239
Altamira,1500602.0,Pará,PA,Comércio atacadista de materiais de construção,1,Pará,Altamira,Altamira,-3.20565951,-52.21437631
Altamira,1500602.0,Pará,PA,Comércio varejista de materiais de construção,33,Pará,Altamira,Altamira,-3.20565951,-52.21437631
Altamira,1500602.0,Pará,PA,"Fabricação de artefatos diversos de madeira, exceto móveis",2,Pará,Altamira,Altamira,-3.20565951,-52.21437631
Altamira,1500602.0,Pará,PA,Fabricação de móveis com predominância de madeira,3,Pará,Altamira,Altamira,-3.20565951,-52.21437631
Altamira do Maranhao,2100402.0,Maranhão,MA,Comércio varejista de materiais de construção,1,Maranhão,Altamira do Maranhao,Pindaré,-4.162269267,-45.46467583
Alterosa,3102001.0,Minas Gerais,MG,Comércio varejista de materiais de construção,3,Minas Gerais,Alterosa,Alfenas,-21.25586995,-46.14532056
Altinho,2600807.0,Pernambuco,PE,Comércio varejista de materiais de construção,4,Pernambuco,Altinho,Brejo Pernambucano,-8.4895925,-36.05969976
Altinopolis,3501004.0,São Paulo,SP,Comércio varejista de materiais de construção,3,São Paulo,Altinopolis,Batatais,-21.02458264,-47.37328029
Alto Alegre,3501103.0,São Paulo,SP,Comércio varejista de materiais de construção,1,São Paulo,Alto Alegre,Birigui,-21.58168946,-50.1635968
Alto Alegre do Maranhao,2100436.0,Maranhão,MA,Comércio varejista de materiais de construção,4,Maranhão,Alto Alegre do Maranhao,Codó,-4.207227,-44.44824749
Alto Alegre do Pindare,2100477.0,Maranhão,MA,Comércio varejista de materiais de construção,3,Maranhão,Alto Alegre do Pindare,Pindaré,-3.665170374,-45.84207962
Alto Alegre dos Parecis,1100379.0,Rondônia,RO,Comércio atacadista de materiais de construção,2,Rondônia,Alto Alegre dos Parecis,Cacoal,-12.13177722,-61.85307717
Alto Alegre dos Parecis,1100379.0,Rondônia,RO,Comércio varejista de materiais de construção,2,Rondônia,Alto Alegre dos Parecis,Cacoal,-12.13177722,-61.85307717
Alto Araguaia,5100300.0,Mato Grosso,MT,Comércio atacadista de materiais de construção,1,Mato Grosso,Alto Araguaia,Alto Araguaia,-17.31558994,-53.22026033
Alto Araguaia,5100300.0,Mato Grosso,MT,Comércio varejista de materiais de construção,4,Mato Grosso,Alto Araguaia,Alto Araguaia,-17.31558994,-53.22026033
Alto Araguaia,5100300.0,Mato Grosso,MT,"Fabricação de artefatos diversos de madeira, exceto móveis",1,Mato Grosso,Alto Araguaia,Alto Araguaia,-17.31558994,-53.22026033
Alto Bela Vista,4200754.0,Santa Catarina,SC,Comércio varejista de materiais de construção,1,Santa Catarina,Alto Bela Vista,Concórdia,-27.43113788,-51.91103685
