nm_municipio_1mai_sa_x,cd_mun_7d,nm_uf_x,sg_uf,grupo_setor,quantidade_empresas,nm_uf_y,nm_municipio_1mai_sa_y,nm_microrregiao,nu_latitude,nu_longitude
Floreal,3515905.0,São Paulo,SP,Comércio varejista de materiais de construção,1,São Paulo,Floreal,Auriflama,-20.67403123,-50.14568901
Floreal,3515905.0,São Paulo,SP,Fabricação de móveis com predominância de madeira,2,São Paulo,Floreal,Auriflama,-20.67403123,-50.14568901
Flores,2605608.0,Pernambuco,PE,Comércio varejista de materiais de construção,8,Pernambuco,Flores,Pajeú,-7.861714475,-37.97145611
Flores da Cunha,4308201.0,Rio Grande do Sul,RS,Comércio atacadista de materiais de construção,1,Rio Grande do Sul,Flores da Cunha,Caxias do Sul,-29.03114214,-51.18222058
Flores da Cunha,4308201.0,Rio Grande do Sul,RS,Comércio varejista de materiais de construção,10,Rio Grande do Sul,Flores da Cunha,Caxias do Sul,-29.03114214,-51.18222058
Flores da Cunha,4308201.0,Rio Grande do Sul,RS,"Fabricação de artefatos diversos de madeira, exceto móveis",2,Rio Grande do Sul,Flores da Cunha,Caxias do Sul,-29.03114214,-51.18222058
Flores da Cunha,4308201.0,Rio Grande do Sul,RS,Fabricação de móveis com predominância de madeira,36,Rio Grande do Sul,Flores da Cunha,Caxias do Sul,-29.03114214,-51.18222058
Floresta,2605707.0,Pernambuco,PE,Comércio varejista de materiais de construção,6,Pernambuco,Floresta,Itaparica,-8.6008265,-38.57123934
Floresta,4107900.0,Paraná,PR,Comércio varejista de materiais de construção,2,Paraná,Floresta,Floraí,-23.61026714,-52.08308485
Floresta do Araguaia,1503044.0,Pará,PA,Comércio varejista de materiais de construção,2,Pará,Floresta do Araguaia,Conceição do Araguaia,-7.558700872,-49.69757841
Florestal,3126000.0,Minas Gerais,MG,Comércio varejista de materiais de construção,1,Minas Gerais,Florestal,Pará de Minas,-19.89451823,-44.43011556
Florestopolis,4108007.0,Paraná,PR,Comércio varejista de materiais de construção,1,Paraná,Florestopolis,Porecatu,-22.8591043,-51.38382265
Floriano,2203909.0,Piauí,PI,Comércio varejista de materiais de construção,37,Piauí,Floriano,Floriano,-6.769672434,-43.02064474
Floriano,2203909.0,Piauí,PI,Fabricação de esquadrias de madeira e de peças de madeira para instalações industriais e comerciais,1,Piauí,Floriano,Floriano,-6.769672434,-43.02064474
Floriano,2203909.0,Piauí,PI,Fabricação de móveis com predominância de madeira,2,Piauí,Floriano,Floriano,-6.769672434,-43.02064474
Florianopolis,4205407.0,Santa Catarina,SC,Comércio atacadista de materiais de construção,5,Santa Catarina,Florianopolis,Florianópolis,-27.58779555,-48.54763738
Florianopolis,4205407.0,Santa Catarina,SC,Comércio varejista de materiais de construção,154,Santa Catarina,Florianopolis,Florianópolis,-27.58779555,-48.54763738
Florianopolis,4205407.0,Santa Catarina,SC,"Fabricação de artefatos diversos de madeira, exceto móveis",3,Santa Catarina,Florianopolis,Florianópolis,-27.58779555,-48.54763738
Florianopolis,4205407.0,Santa Catarina,SC,Fabricação de casas de madeira pré-fabricadas,1,Santa Catarina,Florianopolis,Florianópolis,-27.58779555,-48.54763738
Florianopolis,4205407.0,Santa Catarina,SC,Fabricação de esquadrias de madeira e de peças de madeira para instalações industriais e comerciais,3,Santa Catarina,Florianopolis,Florianópolis,-27.58779555,-48.54763738
Florianopolis,4205407.0,Santa Catarina,SC,Fabricação de móveis com predominância de madeira,22,Santa Catarina,Florianopolis,Florianópolis,-27.58779555,-48.54763738
Florida,4108106.0,Paraná,PR,Comércio varejista de materiais de construção,1,Paraná,Florida,Astorga,-23.08780191,-51.95582809
Florida Paulista,3516002.0,São Paulo,SP,Comércio varejista de materiais de construção,2,São Paulo,Florida Paulista,Adamantina,-21.61342762,-51.16887647
Fonte Boa,1301605.0,Amazonas,AM,Comércio varejista de materiais de construção,3,Amazonas,Fonte Boa,Alto Solimões,-2.512270685,-66.09650299
Fonte Boa,1301605.0,Amazonas,AM,Fabricação de móveis com predominância de madeira,1,Amazonas,Fonte Boa,Alto Solimões,-2.512270685,-66.09650299
Fontoura Xavier,4308300.0,Rio Grande do Sul,RS,Comércio varejista de materiais de construção,2,Rio Grande do Sul,Fontoura Xavier,Soledade,-28.98216779,-52.34495318
Fontoura Xavier,4308300.0,Rio Grande do Sul,RS,"Fabricação de artefatos diversos de madeira, exceto móveis",1,Rio Grande do Sul,Fontoura Xavier,Soledade,-28.98216779,-52.34495318
Formiga,3126109.0,Minas Gerais,MG,Comércio atacadista de materiais de construção,1,Minas Gerais,Formiga,Formiga,-20.46488355,-45.42642818
Formiga,3126109.0,Minas Gerais,MG,Comércio varejista de materiais de construção,14,Minas Gerais,Formiga,Formiga,-20.46488355,-45.42642818
Formiga,3126109.0,Minas Gerais,MG,"Fabricação de artefatos diversos de madeira, exceto móveis",2,Minas Gerais,Formiga,Formiga,-20.46488355,-45.42642818
Formiga,3126109.0,Minas Gerais,MG,Fabricação de móveis com predominância de madeira,8,Minas Gerais,Formiga,Formiga,-20.46488355,-45.42642818
Formigueiro,4308409.0,Rio Grande do Sul,RS,Comércio varejista de materiais de construção,2,Rio Grande do Sul,Formigueiro,Restinga Seca,-29.99763382,-53.50029441
Formosa,5208004.0,Goiás,GO,Comércio varejista de materiais de construção,20,Goiás,Formosa,Entorno de Brasília,-15.54094463,-47.33581558
Formosa,5208004.0,Goiás,GO,Fabricação de móveis com predominância de madeira,2,Goiás,Formosa,Entorno de Brasília,-15.54094463,-47.33581558
Formosa,5208004.0,Goiás,GO,Fabricação de outros artigos de carpintaria para construção,1,Goiás,Formosa,Entorno de Brasília,-15.54094463,-47.33581558
Formosa da Serra Negra,2104099.0,Maranhão,MA,Comércio varejista de materiais de construção,3,Maranhão,Formosa da Serra Negra,Alto Mearim e Grajaú,-6.435304106,-46.18635701
Formosa do Oeste,4108205.0,Paraná,PR,Comércio varejista de materiais de construção,1,Paraná,Formosa do Oeste,Toledo,-24.29419721,-53.31616101
Formosa do Rio Preto,2911105.0,Bahia,BA,Comércio varejista de materiais de construção,3,Bahia,Formosa do Rio Preto,Barreiras,-11.04703249,-45.19099091
Formosa do Sul,4205431.0,Santa Catarina,SC,Comércio varejista de materiais de construção,1,Santa Catarina,Formosa do Sul,Chapecó,-26.64852338,-52.79345003
Formoso do Araguaia,1708205.0,Tocantins,TO,Comércio varejista de materiais de construção,3,Tocantins,Formoso do Araguaia,Rio Formoso,-11.80514197,-49.52686036
Forquetinha,4308433.0,Rio Grande do Sul,RS,Fabricação de móveis com predominância de madeira,1,Rio Grande do Sul,Forquetinha,Lajeado-Estrela,-29.38063378,-52.09691706
Forquilhinha,4205456.0,Santa Catarina,SC,Comércio varejista de materiais de construção,3,Santa Catarina,Forquilhinha,Criciúma,-28.74241535,-49.46886105
Forquilhinha,4205456.0,Santa Catarina,SC,Fabricação de esquadrias de madeira e de peças de madeira para instalações industriais e comerciais,1,Santa Catarina,Forquilhinha,Criciúma,-28.74241535,-49.46886105
Fortaleza,2304400.0,Ceará,CE,Comércio atacadista de materiais de construção,25,Ceará,Fortaleza,Fortaleza,-3.723805035,-38.58992756
Fortaleza,2304400.0,Ceará,CE,Comércio varejista de materiais de construção,205,Ceará,Fortaleza,Fortaleza,-3.723805035,-38.58992756
Fortaleza,2304400.0,Ceará,CE,"Fabricação de artefatos diversos de madeira, exceto móveis",1,Ceará,Fortaleza,Fortaleza,-3.723805035,-38.58992756
Fortaleza,2304400.0,Ceará,CE,Fabricação de casas de madeira pré-fabricadas,1,Ceará,Fortaleza,Fortaleza,-3.723805035,-38.58992756
Fortaleza,2304400.0,Ceará,CE,Fabricação de esquadrias de madeira e de peças de madeira para instalações industriais e comerciais,8,Ceará,Fortaleza,Fortaleza,-3.723805035,-38.58992756
Fortaleza,2304400.0,Ceará,CE,Fabricação de móveis com predominância de madeira,26,Ceará,Fortaleza,Fortaleza,-3.723805035,-38.58992756
Fortaleza de Minas,3126307.0,Minas Gerais,MG,"Fabricação de artefatos diversos de madeira, exceto móveis",1,Minas Gerais,Fortaleza de Minas,Passos,-20.84849251,-46.71264341
Fortaleza dos Nogueiras,2104107.0,Maranhão,MA,Comércio varejista de materiais de construção,6,Maranhão,Fortaleza dos Nogueiras,Chapadas das Mangabeiras,-6.965926087,-46.18555754
Fortaleza dos Valos,4308458.0,Rio Grande do Sul,RS,Comércio varejista de materiais de construção,2,Rio Grande do Sul,Fortaleza dos Valos,Cruz Alta,-28.78788297,-53.23552326
Fortaleza dos Valos,4308458.0,Rio Grande do Sul,RS,"Fabricação de artefatos diversos de madeira, exceto móveis",1,Rio Grande do Sul,Fortaleza dos Valos,Cruz Alta,-28.78788297,-53.23552326
Fortim,2304459.0,Ceará,CE,Comércio varejista de materiais de construção,2,Ceará,Fortim,Litoral de Aracati,-4.449804917,-37.79897549
Fortuna de Minas,3126406.0,Minas Gerais,MG,Comércio varejista de materiais de construção,1,Minas Gerais,Fortuna de Minas,Sete Lagoas,-19.56390096,-44.44339705
Foz do Iguacu,4108304.0,Paraná,PR,Comércio atacadista de materiais de construção,10,Paraná,Foz do Iguacu,Foz do Iguaçu,-25.54249328,-54.58710249
Foz do Iguacu,4108304.0,Paraná,PR,Comércio varejista de materiais de construção,66,Paraná,Foz do Iguacu,Foz do Iguaçu,-25.54249328,-54.58710249
Foz do Iguacu,4108304.0,Paraná,PR,"Fabricação de artefatos diversos de madeira, exceto móveis",2,Paraná,Foz do Iguacu,Foz do Iguaçu,-25.54249328,-54.58710249
Foz do Iguacu,4108304.0,Paraná,PR,Fabricação de móveis com predominância de madeira,7,Paraná,Foz do Iguacu,Foz do Iguaçu,-25.54249328,-54.58710249
Fraiburgo,4205506.0,Santa Catarina,SC,Comércio atacadista de materiais de construção,2,Santa Catarina,Fraiburgo,Joaçaba,-27.02344696,-50.92507924
Fraiburgo,4205506.0,Santa Catarina,SC,Comércio varejista de materiais de construção,6,Santa Catarina,Fraiburgo,Joaçaba,-27.02344696,-50.92507924
Fraiburgo,4205506.0,Santa Catarina,SC,"Fabricação de artefatos diversos de madeira, exceto móveis",1,Santa Catarina,Fraiburgo,Joaçaba,-27.02344696,-50.92507924
Fraiburgo,4205506.0,Santa Catarina,SC,Fabricação de móveis com predominância de madeira,2,Santa Catarina,Fraiburgo,Joaçaba,-27.02344696,-50.92507924
Franca,3516200.0,São Paulo,SP,Comércio varejista de materiais de construção,51,São Paulo,Franca,Franca,-20.536097,-47.40233163
Franca,3516200.0,São Paulo,SP,Fabricação de móveis com predominância de madeira,4,São Paulo,Franca,Franca,-20.536097,-47.40233163
Franca,3516200.0,São Paulo,SP,Fabricação de outros artigos de carpintaria para construção,1,São Paulo,Franca,Franca,-20.536097,-47.40233163
